entry_price,exit_price,lotes,entry_time,exit_time,pnl,pnl_pips,reason
1.13715,1.13987,0.04991,150,229,0.13583,27.21284,take_profit
1.14091,1.14364,0.04993,230,236,0.13634,27.3078,take_profit
1.14397,1.14673,0.0499,237,240,0.13794,27.64138,take_profit
1.14722,1.15,0.04991,241,249,0.13859,27.77149,take_profit
1.15147,1.15426,0.04991,255,271,0.13945,27.94046,take_profit
1.15075,1.14928,0.04985,325,338,-0.07323,-14.69203,stop_loss
1.15361,1.15213,0.04533,349,362,-0.06691,-14.75875,stop_loss
1.13582,1.13436,0.04535,424,425,-0.06636,-14.63413,stop_loss
1.13341,1.13621,0.04537,426,432,0.12705,28.00706,take_profit
1.13323,1.13601,0.04995,487,488,0.13886,27.8004,take_profit
1.13157,1.1343,0.04991,516,531,0.13622,27.29273,take_profit
1.13824,1.13877,0.04992,560,573,0.02646,5.3,model_exit
1.13599,1.13454,0.04982,709,719,-0.07205,-14.46269,stop_loss
1.14196,1.1405,0.04531,807,818,-0.06626,-14.62474,stop_loss
1.13262,1.13117,0.04534,996,1013,-0.06595,-14.54517,stop_loss
1.12879,1.13152,0.0454,1029,1040,0.12408,27.33196,take_profit
1.13127,1.134,0.04998,1231,1238,0.13633,27.27774,take_profit
1.12994,1.1314,0.04995,1271,1291,0.07293,14.6,model_exit
1.12881,1.13152,0.04993,1301,1312,0.13514,27.06764,take_profit
1.13049,1.13322,0.04988,1476,1500,0.13615,27.29509,take_profit
1.12247,1.12297,0.0499,1552,1560,0.02495,5.0,model_exit
1.12238,1.12096,0.04988,1572,1592,-0.07104,-14.24296,stop_loss
1.12039,1.12311,0.04533,1668,1676,0.12338,27.21559,take_profit
1.11039,1.11311,0.04992,1710,1715,0.13555,27.1524,take_profit
1.10901,1.1076,0.04993,1721,1722,-0.07062,-14.14603,stop_loss
1.10792,1.11064,0.04946,1723,1727,0.13437,27.1655,take_profit
1.10672,1.1094,0.04994,1753,1760,0.13382,26.79597,take_profit
1.10888,1.11155,0.04995,1762,1791,0.13357,26.74244,take_profit
1.11115,1.11381,0.04992,1792,1829,0.13285,26.60906,take_profit
1.11454,1.11723,0.04991,1830,1838,0.13421,26.89053,take_profit
1.11747,1.12017,0.04991,1839,1902,0.13488,27.02423,take_profit
1.12262,1.12534,0.04991,1904,1909,0.13562,27.17466,take_profit
1.11749,1.12017,0.04989,1956,1993,0.13376,26.80938,take_profit
1.11843,1.12112,0.04992,2046,2086,0.13428,26.89816,take_profit
1.12172,1.12031,0.04993,2089,2096,-0.07047,-14.11381,stop_loss
1.11398,1.11669,0.04533,2127,2148,0.12275,27.07638,take_profit
1.11789,1.12057,0.04574,2149,2186,0.12265,26.81235,take_profit
1.12087,1.12356,0.04995,2187,2191,0.13458,26.94295,take_profit
1.12475,1.12746,0.04991,2192,2199,0.13529,27.10698,take_profit
1.12769,1.12642,0.04992,2200,2208,-0.06339,-12.7,model_exit
1.12245,1.12517,0.04534,2232,2277,0.1232,27.17377,take_profit
1.1254,1.12397,0.04627,2279,2304,-0.06624,-14.31807,stop_loss
1.12804,1.13075,0.04536,2340,2360,0.12308,27.13727,take_profit
1.13182,1.13455,0.0458,2361,2377,0.12509,27.31285,take_profit
1.12787,1.13056,0.04993,2532,2550,0.13441,26.9215,take_profit
1.13136,1.13407,0.04992,2551,2576,0.1351,27.06044,take_profit
1.14119,1.13975,0.04992,2647,2668,-0.07189,-14.40056,stop_loss
1.13261,1.13348,0.04532,2813,2818,0.03943,8.7,model_exit
1.12983,1.1284,0.04995,2878,2917,-0.07137,-14.28785,stop_loss
1.121,1.12371,0.04905,2919,2921,0.13313,27.14392,take_profit
1.1349,1.13765,0.04994,2972,2991,0.13749,27.53151,take_profit
1.13462,1.13733,0.04991,3102,3118,0.13503,27.05129,take_profit
1.14043,1.14316,0.04993,3139,3149,0.13637,27.31352,take_profit
1.14321,1.14177,0.04992,3150,3156,-0.07198,-14.41892,stop_loss
1.14355,1.14209,0.04532,3197,3222,-0.06626,-14.61899,stop_loss
1.13701,1.13729,0.04535,3293,3297,0.0127,2.8,model_exit
1.14304,1.14246,0.04997,3363,3369,-0.02899,-5.8,model_exit
1.14147,1.14285,0.04529,3389,3404,0.0625,13.8,model_exit
1.13762,1.14036,0.04994,3550,3553,0.13684,27.4,model_exit
1.13929,1.14028,0.04992,3581,3587,0.04942,9.9,model_exit
1.14169,1.1432,0.0499,3677,3690,0.07535,15.1,model_exit
1.14453,1.14309,0.04992,3742,3748,-0.07202,-14.4258,stop_loss
1.14235,1.14088,0.04527,3773,3792,-0.06648,-14.68673,stop_loss
1.14684,1.14964,0.04536,3837,3856,0.12678,27.95084,take_profit
1.14834,1.15109,0.04996,3869,3882,0.13729,27.47945,take_profit
1.15206,1.15482,0.04996,3884,3917,0.13807,27.63798,take_profit
1.15571,1.15849,0.04991,3918,3922,0.13897,27.84224,take_profit
1.15811,1.16091,0.04991,3923,3931,0.13988,28.0266,take_profit
1.15858,1.15712,0.0499,3965,3977,-0.07302,-14.63159,stop_loss
1.15631,1.15483,0.04533,4038,4046,-0.0672,-14.82491,stop_loss
1.15296,1.15575,0.04532,4062,4099,0.12644,27.89733,take_profit
1.1573,1.16011,0.04582,4100,4129,0.12866,28.07766,take_profit
1.15602,1.15434,0.04991,4157,4226,-0.08397,-16.82266,stop_loss
1.15108,1.14962,0.04949,4227,4239,-0.07222,-14.59365,stop_loss
1.14839,1.15117,0.04533,4253,4290,0.12598,27.79203,take_profit
1.14773,1.14627,0.04994,4349,4368,-0.07314,-14.64499,stop_loss
1.14528,1.14804,0.04952,4369,4406,0.13677,27.61873,take_profit
1.14968,1.15244,0.04996,4438,4472,0.13774,27.57163,take_profit
1.14664,1.14941,0.04993,4541,4550,0.13814,27.66523,take_profit
1.14558,1.14834,0.04992,4590,4607,0.13802,27.64943,take_profit
1.15195,1.15474,0.04991,4609,4614,0.13919,27.88738,take_profit
1.15445,1.15725,0.04991,4615,4627,0.13951,27.95054,take_profit
1.15738,1.16018,0.04992,4628,4646,0.13963,27.97244,take_profit
1.16063,1.16334,0.04977,4733,4814,0.13506,27.13619,take_profit
1.1642,1.16699,0.04993,4816,4837,0.13927,27.89501,take_profit
1.16828,1.17107,0.04993,4840,4873,0.13952,27.94428,take_profit
1.17289,1.17141,0.04992,4874,4885,-0.07398,-14.82123,stop_loss
1.16985,1.16834,0.04528,4925,4931,-0.06815,-15.05079,stop_loss
1.32602,1.32432,0.04535,4951,4963,-0.07717,-17.01627,stop_loss
1.32341,1.32171,0.04538,4967,4973,-0.07732,-17.0391,stop_loss
1.32205,1.32365,0.04537,4974,4994,0.07259,16.0,model_exit
1.32195,1.32514,0.0472,4998,5051,0.15042,31.87251,take_profit
1.32559,1.32391,0.04994,5053,5057,-0.08385,-16.79187,stop_loss
1.32684,1.33005,0.04532,5073,5184,0.14551,32.10505,take_profit
1.3303,1.33349,0.04626,5186,5190,0.14767,31.92408,take_profit
1.33453,1.33773,0.04855,5191,5204,0.15547,32.02116,take_profit
1.32887,1.32719,0.04987,5373,5375,-0.084,-16.84384,stop_loss
1.32502,1.32823,0.04946,5376,5382,0.15867,32.08235,take_profit
1.32852,1.33175,0.04669,5383,5408,0.1507,32.2767,take_profit
1.32539,1.32857,0.04994,5463,5506,0.15893,31.82695,take_profit
1.3288,1.33197,0.04991,5507,5536,0.15843,31.74143,take_profit
1.32905,1.33121,0.0499,5540,5543,0.10779,21.6,model_exit
1.32942,1.3326,0.04992,5588,5637,0.15849,31.75052,take_profit
1.33018,1.32849,0.04985,5658,5678,-0.08407,-16.86332,stop_loss
1.32813,1.33131,0.04947,5679,5689,0.15726,31.78513,take_profit
1.32994,1.33312,0.04856,5696,5706,0.15456,31.82795,take_profit
1.33489,1.33809,0.04993,5707,5727,0.15997,32.03537,take_profit
1.32882,1.33199,0.04992,5978,5991,0.15805,31.6605,take_profit
1.32655,1.32845,0.04991,6028,6053,0.09483,19.0,model_exit
1.32857,1.33104,0.04991,6086,6107,0.12328,24.7,model_exit
1.32728,1.33047,0.04991,6129,6193,0.15931,31.92275,take_profit
1.33205,1.33037,0.04991,6194,6210,-0.08386,-16.8016,stop_loss
1.32724,1.32912,0.04809,6214,6243,0.09042,18.8,model_exit
1.32711,1.32908,0.04718,6247,6255,0.09294,19.7,model_exit
1.32886,1.33203,0.04994,6269,6276,0.15842,31.71971,take_profit
1.33273,1.33105,0.04991,6279,6283,-0.08396,-16.82205,stop_loss
1.3338,1.33701,0.04764,6288,6294,0.15272,32.06106,take_profit
1.33766,1.33838,0.04579,6295,6303,0.03297,7.2,model_exit
1.3287,1.33189,0.0499,6426,6445,0.159,31.86169,take_profit
1.32896,1.32728,0.04991,6463,6466,-0.08386,-16.80281,stop_loss
1.32775,1.33095,0.04947,6467,6482,0.15843,32.0277,take_profit
1.32489,1.32461,0.04993,6514,6528,-0.01398,-2.8,model_exit
1.32123,1.32442,0.04535,6542,6560,0.14468,31.90203,take_profit
1.32504,1.32823,0.04625,6562,6578,0.14754,31.89884,take_profit
1.32767,1.33086,0.04993,6579,6591,0.15906,31.85484,take_profit
1.33152,1.33018,0.04991,6598,6615,-0.06688,-13.4,model_exit
1.32692,1.32521,0.04808,6619,6658,-0.08208,-17.07408,stop_loss
1.31947,1.31777,0.04534,6659,6660,-0.07699,-16.97878,stop_loss
1.31677,1.31971,0.04536,6661,6667,0.13335,29.4,model_exit
1.31702,1.31533,0.04718,6671,6672,-0.07981,-16.91607,stop_loss
1.31404,1.31724,0.04763,6673,6677,0.15257,32.03086,take_profit
1.31795,1.31953,0.04761,6678,6681,0.07523,15.8,model_exit
1.31721,1.32039,0.04993,6698,6746,0.15866,31.77822,take_profit
1.31976,1.32291,0.04992,6748,6776,0.15704,31.45903,take_profit
1.32423,1.3274,0.04991,6777,6787,0.15835,31.72999,take_profit
1.32733,1.33053,0.0499,6788,6807,0.15943,31.95228,take_profit
1.33109,1.33427,0.04992,6808,6855,0.15866,31.78602,take_profit
1.33443,1.33433,0.04991,6856,6862,-0.00499,-1.0,model_exit
1.32605,1.32926,0.04532,6895,6944,0.14549,32.10088,take_profit
1.32878,1.32709,0.04671,6947,6949,-0.0791,-16.93345,stop_loss
1.3274,1.3306,0.04765,6950,6970,0.15254,32.01207,take_profit
1.32802,1.33124,0.04762,6975,7017,0.15311,32.15118,take_profit
1.32915,1.32747,0.04994,7053,7072,-0.08386,-16.79063,stop_loss
1.32647,1.32966,0.04947,7073,7103,0.15798,31.93632,take_profit
1.33038,1.33356,0.04902,7111,7139,0.15608,31.83745,take_profit
1.33649,1.3397,0.04993,7140,7151,0.16013,32.06928,take_profit
1.34131,1.33961,0.04985,7387,7435,-0.0848,-17.00937,stop_loss
1.34789,1.35114,0.04533,7525,7544,0.14711,32.45227,take_profit
1.35231,1.35549,0.04984,7578,7593,0.15853,31.80486,take_profit
1.35564,1.35888,0.04994,7594,7615,0.1619,32.41706,take_profit
1.35574,1.35711,0.04988,7672,7695,0.06833,13.7,model_exit
1.34868,1.34697,0.04986,7956,7982,-0.08524,-17.09431,stop_loss
1.34517,1.34837,0.04526,8055,8064,0.14469,31.96773,take_profit
1.35035,1.34864,0.04764,8069,8075,-0.08169,-17.14926,stop_loss
1.35152,1.35477,0.04536,8089,8094,0.14759,32.53884,take_profit
1.35332,1.3516,0.04991,8148,8174,-0.08561,-17.1542,stop_loss
1.35176,1.35195,0.04536,8241,8249,0.00862,1.9,model_exit
1.3522,1.35543,0.04995,8267,8312,0.16108,32.25086,take_profit
1.35487,1.35808,0.0499,8340,8401,0.16013,32.09254,take_profit
1.35695,1.35781,0.04981,8436,8451,0.04284,8.6,model_exit
1.35203,1.35317,0.04981,8532,8538,0.05678,11.4,model_exit
1.35413,1.35513,0.04986,8628,8644,0.04986,10.0,model_exit
1.34994,1.34824,0.0499,8724,8743,-0.08501,-17.03659,stop_loss
1.35282,1.35109,0.04532,8788,8789,-0.07854,-17.3285,stop_loss
1.35343,1.35616,0.04535,8793,8807,0.1238,27.3,model_exit
1.35408,1.35731,0.04995,8820,8833,0.16154,32.34155,take_profit
1.35824,1.35652,0.04995,8835,8856,-0.08567,-17.15307,stop_loss
1.36113,1.35939,0.04529,8917,8928,-0.07894,-17.42799,stop_loss
1.35557,1.35883,0.04531,9012,9076,0.14794,32.64798,take_profit
1.35693,1.3552,0.04994,9108,9155,-0.0862,-17.25997,stop_loss
1.34218,1.34542,0.04533,9204,9240,0.14681,32.38932,take_profit
1.34121,1.3395,0.0499,9300,9319,-0.08521,-17.07709,stop_loss
1.33877,1.34199,0.04536,9337,9345,0.14611,32.20892,take_profit
1.34604,1.34921,0.04985,9398,9420,0.15785,31.66822,take_profit
1.33979,1.34297,0.04984,9492,9498,0.15852,31.80389,take_profit
1.34612,1.34938,0.0499,9560,9564,0.16243,32.55177,take_profit
1.34978,1.35304,0.0499,9566,9592,0.16273,32.61088,take_profit
1.36096,1.36415,0.04981,9684,9765,0.15913,31.94981,take_profit
1.36603,1.36928,0.04992,9779,9801,0.16245,32.5404,take_profit
1.37054,1.37381,0.04992,9803,9824,0.16308,32.6671,take_profit
1.37204,1.37527,0.04982,9876,9902,0.16095,32.30889,take_profit
139.481,139.81681,0.04993,9903,9912,16.76834,3358.07772,take_profit
138.863,138.68722,0.04991,9944,9991,-8.77249,-1757.82413,stop_loss
138.654,138.99519,0.0495,9992,10000,16.8906,3411.90343,take_profit
138.93,139.25966,0.04582,10001,10034,15.10371,3296.6001,take_profit
139.448,139.77786,0.04993,10035,10043,16.46996,3298.58476,take_profit
139.879,140.20704,0.04991,10044,10073,16.37397,3280.42085,take_profit
139.742,139.56571,0.04992,10143,10152,-8.80026,-1762.9025,stop_loss
139.242,139.58769,0.04535,10200,10218,15.67613,3456.88133,take_profit
139.781,139.651,0.04719,10222,10243,-6.13477,-1300.0,model_exit
139.27,139.09029,0.04538,10277,10322,-8.15564,-1797.07482,stop_loss
139.432,139.78573,0.04536,10323,10327,16.04503,3537.31742,take_profit
139.862,140.153,0.04582,10328,10344,13.33222,2910.0,model_exit
138.98,139.31859,0.04995,10422,10480,16.91209,3385.89769,take_profit
139.357,139.552,0.04994,10481,10499,9.73908,1950.0,model_exit
139.172,139.50847,0.04993,10509,10562,16.80028,3364.72312,take_profit
139.254,139.58996,0.04993,10592,10610,16.77608,3359.62633,take_profit
139.6,139.592,0.04991,10611,10632,-0.39932,-80.0,model_exit
139.405,139.22767,0.04536,10673,10701,-8.0428,-1773.28084,stop_loss
139.154,139.50329,0.04535,10702,10705,15.84102,3492.86075,take_profit
139.755,140.09415,0.04581,10706,10721,15.53678,3391.51268,take_profit
140.173,140.157,0.04995,10722,10743,-0.7992,-160.0,model_exit
139.383,139.72273,0.04535,10813,10819,15.40511,3397.27353,take_profit
140.022,139.84834,0.04579,10820,10821,-7.95224,-1736.64268,stop_loss
139.706,140.05682,0.04627,10822,10829,16.23399,3508.1821,take_profit
140.11,140.44646,0.04626,10830,10847,15.56351,3364.60517,take_profit
140.652,140.9812,0.04994,10848,10850,16.44085,3291.96424,take_profit
140.946,141.27627,0.04991,10851,10863,16.4832,3302.66487,take_profit
141.333,141.16083,0.04992,10864,10880,-8.59533,-1721.74,stop_loss
140.337,140.239,0.04534,10914,10927,-4.44296,-980.0,model_exit
140.124,140.47677,0.04537,10949,10950,16.00443,3527.67341,take_profit
140.523,140.34377,0.04581,10951,10952,-8.21113,-1792.32898,stop_loss
140.376,140.72938,0.04627,10953,10959,16.34956,3533.81466,take_profit
140.692,141.03099,0.04671,10960,10967,15.83326,3389.90043,take_profit
141.29,141.63587,0.04994,10990,11000,17.27237,3458.72204,take_profit
141.717,142.06065,0.04993,11144,11151,17.15672,3436.48107,take_profit
141.807,141.916,0.04993,11297,11361,5.44206,1090.0,model_exit
142.849,143.1967,0.04992,11449,11458,17.35676,3477.04457,take_profit
142.979,143.32552,0.04992,11469,11475,17.2993,3465.19786,take_profit
143.106,143.45146,0.04993,11566,11569,17.24957,3454.56056,take_profit
143.446,143.684,0.04994,11638,11644,11.8853,2380.0,model_exit
143.479,143.82601,0.04993,11661,11667,17.32577,3470.10531,take_profit
143.974,144.31999,0.04994,11727,11755,17.27895,3459.91709,take_profit
144.273,144.533,0.04993,11760,11763,12.98235,2600.0,model_exit
144.286,144.564,0.04993,11779,11821,13.88007,2780.0,model_exit
144.349,144.69864,0.04992,11834,11854,17.45414,3496.42879,take_profit
144.585,144.703,0.04993,11926,11928,5.892,1180.0,model_exit
144.458,144.532,0.04992,11950,11961,3.69398,740.0,model_exit
144.31,144.624,0.04993,11970,12004,15.67676,3140.0,model_exit
144.461,144.578,0.04994,12013,12018,5.84246,1170.0,model_exit
144.532,144.717,0.04994,12019,12031,9.23822,1850.0,model_exit
144.469,144.28731,0.04993,12048,12051,-9.07223,-1816.94776,stop_loss
